Date,PRECP,TMEAN,TMAX,DISCH,TMIN,SEDM
1/17/1991,0.525347901,0.551021898,0.572086043,0.490909117,0.564078983,0.493563969
1/18/1991,0.525002875,0.529270073,0.568984492,0.491818213,0.535190695,0.494007833
1/19/1991,0.524703853,0.552627737,0.593196598,0.491818181,0.54362997,0.493746736
1/20/1991,0.527613571,0.524635036,0.572286143,0.483181815,0.524749797,0.492924282
1/21/1991,0.527556067,0.482116788,0.530415208,0.486363636,0.50700568,0.493185379
1/22/1991,0.528050604,0.509416058,0.563781891,0.483636347,0.511387612,0.493785901
1/24/1991,0.528326624,0.462007299,0.522011006,0.485999991,0.486286178,0.493903394
1/27/1991,0.52826912,0.458759124,0.524562281,0.487272732,0.47871247,0.493968668
1/28/1991,0.528384129,0.519233577,0.565732866,0.495363647,0.523830133,0.494360313
1/31/1991,0.528476136,0.593722628,0.628664332,0.497454566,0.566188802,0.494490862
2/1/1991,0.528441633,0.623248175,0.627313657,0.487000038,0.611414661,0.493942559
2/2/1991,0.528177113,0.683941606,0.670585293,0.478272752,0.654584798,0.49343342
2/3/1991,0.528165612,0.666861314,0.65957979,0.479363655,0.641168515,0.493511749
2/4/1991,0.528246118,0.681240876,0.664332166,0.484636362,0.657343792,0.49383812
2/5/1991,0.528326624,0.629014599,0.604302151,0.487272732,0.644847173,0.494060052
2/6/1991,0.52826912,0.575583942,0.572386193,0.498636356,0.600162294,0.494791123
2/7/1991,0.527935595,0.551313869,0.563381691,0.513181832,0.573924804,0.495535248
2/8/1991,0.527889592,0.539927007,0.554277139,0.518090927,0.566892075,0.494725849
2/9/1991,0.527590569,0.525218978,0.552676338,0.511545478,0.546821747,0.494190601
2/10/1991,0.52746406,0.521131387,0.555577789,0.498181823,0.537625101,0.493146214
2/11/1991,0.527521564,0.521277372,0.547473737,0.492727278,0.546605356,0.492375979
2/12/1991,0.527889592,0.532773723,0.56018009,0.486363636,0.549905329,0.490926893
2/15/1991,0.527935595,0.499343066,0.524412206,0.479999994,0.539031647,0.491253264
2/21/1991,0.527878091,0.522189781,0.533866933,0.479090897,0.562672437,0.491174935
2/23/1991,0.527958597,0.546094891,0.568034017,0.488181796,0.561157695,0.491083551
2/24/1991,0.5280046,0.53649635,0.542071036,0.48272725,0.575006762,0.490600522
2/25/1991,0.527889592,0.522080292,0.530015008,0.479090897,0.566675683,0.491109661
2/26/1991,0.527901093,0.566569343,0.572386193,0.481818186,0.586800108,0.491292428
2/27/1991,0.527889592,0.556423358,0.577088544,0.482727283,0.566675683,0.491240209
2/28/1991,0.528361127,0.596678832,0.611155578,0.475636383,0.589505004,0.49151436
4/2/1991,0.528361127,0.616678832,0.640770385,0.481090928,0.587124696,0.492010444
4/20/1991,0.526808511,0.609562044,0.637168584,0.489272731,0.580470652,0.491383812
4/21/1991,0.525301898,0.59879562,0.63821911,0.494727277,0.56337571,0.492062663
4/27/1991,0.52347326,0.587153285,0.595997999,0.490181827,0.591777117,0.492950392
5/12/1991,0.522380679,0.551240876,0.565982991,0.481818186,0.571003516,0.492036554
5/15/1991,0.521725129,0.53459854,0.556478239,0.480000026,0.55661347,0.493211488
6/4/1991,0.525945946,0.530839416,0.550725363,0.467272774,0.557262645,0.494255875
6/6/1991,0.527429557,0.52729927,0.546373187,0.452727297,0.556721666,0.493733681
6/7/1991,0.529269695,0.516642336,0.561130565,0.453636393,0.524966189,0.49464752
6/8/1991,0.529856239,0.526824818,0.563281641,0.462727324,0.537733297,0.495822454
6/9/1991,0.530454284,0.551313869,0.578889445,0.460000003,0.55715445,0.49464752
6/12/1991,0.528441633,0.579525547,0.595797899,0.469090902,0.580687044,0.493342037
6/13/1991,0.529407706,0.591459854,0.587693847,0.477272737,0.607140925,0.492819843
6/23/1991,0.527487062,0.565766423,0.561530765,0.479090897,0.597349202,0.491906005
6/25/1991,0.528349626,0.573941606,0.573836918,0.478181801,0.596159048,0.490861619
6/28/1991,0.528372628,0.560036496,0.569684842,0.47636364,0.580037869,0.490221932
6/30/1991,0.527475561,0.561423358,0.567933967,0.466363613,0.583987016,0.491396867
7/4/1991,0.526325474,0.545729927,0.567133567,0.459999971,0.561590479,0.490718016
7/5/1991,0.527314549,0.587043796,0.609854927,0.452727233,0.5766297,0.488955614
7/6/1991,0.526325474,0.585948905,0.598449225,0.447272687,0.587341087,0.48845953
7/16/1991,0.526279471,0.597007299,0.604652326,0.442727238,0.597024615,0.48845953
7/19/1991,0.526635998,0.600364964,0.602951476,0.446363623,0.603840952,0.490117493
7/20/1991,0.527648074,0.612737226,0.612456228,0.446363623,0.611901542,0.490156658
7/22/1991,0.527901093,0.595109489,0.589844922,0.453636361,0.610224506,0.490104439
7/23/1991,0.528821162,0.552846715,0.556828414,0.4609091,0.583283744,0.491318538
7/24/1991,0.526992524,0.497481752,0.511355678,0.469090902,0.55039221,0.493172324
7/27/1991,0.527004025,0.492737226,0.511955978,0.474545448,0.542710306,0.490691906
7/28/1991,0.526497987,0.509416058,0.522411206,0.477272737,0.556126589,0.491788512
7/29/1991,0.527038528,0.493357664,0.506553277,0.479090929,0.549472545,0.493368146
7/30/1991,0.526060955,0.508540146,0.533266633,0.478636365,0.543088991,0.493237598
7/31/1991,0.528085106,0.581788321,0.600950475,0.478636365,0.578469029,0.491997389
8/1/1991,0.527935595,0.594671533,0.602401201,0.472545449,0.595996754,0.492665796
8/2/1991,0.527659574,0.59189781,0.600950475,0.473999996,0.593454152,0.492779373
8/3/1991,0.52879816,0.602518248,0.605902951,0.470272724,0.603840952,0.492557441
8/4/1991,0.529177688,0.589452555,0.583441721,0.467545435,0.608763863,0.492386423
8/10/1991,0.526728005,0.562554745,0.569234617,0.469454547,0.584257506,0.492684073
8/11/1991,0.526866015,0.552481752,0.569484742,0.470636369,0.569055991,0.493082245
8/12/1991,0.526831512,0.532956204,0.555277639,0.475454544,0.555477414,0.493186684
8/13/1991,0.528050604,0.539233577,0.569234617,0.481454541,0.549688937,0.493479112
8/14/1991,0.52573893,0.569963504,0.587643822,0.484454556,0.57533135,0.494093995
8/15/1991,0.527993099,0.572846715,0.586043022,0.486545442,0.581336219,0.494357702
